region;price;year;manufacturer;model;condition;cylinders;fuel;transmission;type;paint_color;state
humboldt county;1111111111;1999;ford;f350 super duty lariat;good;8 cylinders;diesel;automatic;pickup;white;ca
huntsville / decatur;140000;2015;jeep;renegade;like new;6 cylinders;gas;other;SUV;yellow;al
phoenix;135000;1967;chevrolet;camaro ss;excellent;8 cylinders;gas;manual;coupe;silver;az
birmingham;130000;2019;chevrolet;corvette;like new;8 cylinders;gas;automatic;coupe;blue;al
inland empire;125000;1963;chevrolet;impala;like new;8 cylinders;gas;manual;convertible;yellow;ca
phoenix;123456;1989;chevrolet;camaro iroc-z28;like new;8 cylinders;gas;automatic;convertible;red;az
los angeles;120000;2018;mercedes-benz;sprinter;good;6 cylinders;diesel;automatic;van;white;ca
prescott;119995;2021;chevrolet;corvette c8 z51;new;8 cylinders;gas;automatic;convertible;orange;az
anchorage / mat-su;116000;2019;ford;f350 diesels powerstroke;like new;8 cylinders;diesel;automatic;truck;white;ak
tuscaloosa;104900;2020;bmw;m805i;excellent;8 cylinders;gas;automatic;sedan;black;al
humboldt county;103500;2016;ford;mustang gt;like new;8 cylinders;gas;other;coupe;red;ca
anchorage / mat-su;98995;2017;porsche;panamera turbo;excellent;8 cylinders;gas;automatic;hatchback;brown;ak
anchorage / mat-su;98995;2017;porsche;panamera turbo;excellent;8 cylinders;gas;automatic;hatchback;brown;ak
anchorage / mat-su;98995;2017;porsche;panamera turbo;excellent;8 cylinders;gas;automatic;hatchback;brown;ak
birmingham;98900;2001;ferrari;360 modena;good;8 cylinders;gas;automatic;convertible;red;al
anchorage / mat-su;98750;2019;ford;f350 super duty lariat;like new;8 cylinders;diesel;automatic;truck;black;ak
los angeles;96995;2018;porsche;911 carrera;like new;6 cylinders;gas;automatic;coupe;blue;ca
los angeles;95000;2020;ford;f-150 raptor;excellent;6 cylinders;gas;automatic;truck;white;ca
inland empire;90000;2020;ford;f350;new;8 cylinders;diesel;automatic;truck;grey;ca
los angeles;88800;1962;chevrolet;corvette;excellent;8 cylinders;gas;manual;convertible;red;ca
anchorage / mat-su;87995;2019;ford;f350 drw;like new;8 cylinders;diesel;automatic;truck;grey;ak
anchorage / mat-su;87995;2019;ford;f350 drw;like new;8 cylinders;diesel;automatic;truck;grey;ak
anchorage / mat-su;87995;2019;ford;f350 drw;like new;8 cylinders;diesel;automatic;truck;grey;ak
anchorage / mat-su;87995;2019;ford;f350 drw;like new;8 cylinders;diesel;automatic;truck;grey;ak
fort smith;87700;2020;ford;f250 king ranch;like new;8 cylinders;diesel;automatic;truck;white;ar
little rock;87700;2020;ford;f250 king ranch;like new;8 cylinders;diesel;automatic;truck;white;ar
texarkana;87700;2020;ford;f250 king ranch;like new;8 cylinders;diesel;automatic;truck;white;ar
phoenix;83500;2018;ford;f350 platinum;like new;8 cylinders;diesel;automatic;truck;black;az
humboldt county;82999;2020;ford;f250 super duty;like new;8 cylinders;diesel;automatic;truck;blue;ca
anchorage / mat-su;79900;2020;chrysler;pacifica touring l plus;new;6 cylinders;gas;automatic;mini-van;silver;ak
anchorage / mat-su;79900;2020;chrysler;pacifica touring l plus;new;6 cylinders;gas;automatic;mini-van;silver;ak
fresno / madera;79000;1973;ford;bronco;excellent;4 cylinders;gas;automatic;wagon;silver;ca
anchorage / mat-su;78900;2020;toyota;sienna xle;new;6 cylinders;gas;automatic;mini-van;silver;ak
anchorage / mat-su;78900;2020;toyota;sienna xle;new;6 cylinders;gas;automatic;mini-van;silver;ak
tucson;78500;2017;ford;mustang gt350r;like new;8 cylinders;gas;manual;coupe;white;az
bakersfield;78000;2016;chevrolet;corvette z06 3lz;like new;8 cylinders;gas;automatic;coupe;blue;ca
tucson;76000;2016;porsche;cayman gts;like new;6 cylinders;gas;automatic;coupe;red;az
huntsville / decatur;75500;2020;ram;limited 3500;excellent;6 cylinders;diesel;automatic;pickup;white;al
southeast alaska;75000;2019;gmc;sierra;excellent;8 cylinders;gas;automatic;pickup;white;ak
bakersfield;75000;2020;gmc;yukon;like new;6 cylinders;diesel;automatic;truck;custom;ca
fresno / madera;75000;2020;chevrolet;camaro;like new;8 cylinders;gas;automatic;coupe;white;ca
anchorage / mat-su;74995;2017;audi;s8 plus awd;excellent;8 cylinders;gas;automatic;sedan;black;ak
anchorage / mat-su;74995;2016;chevrolet;corvette z06;excellent;8 cylinders;gas;manual;coupe;grey;ak
anchorage / mat-su;74995;2017;audi;s8 plus awd;excellent;8 cylinders;gas;automatic;sedan;black;ak
anchorage / mat-su;74995;2016;chevrolet;corvette z06;excellent;8 cylinders;gas;manual;coupe;grey;ak
phoenix;74800;2014;porsche;911 carrera 4 cabriolet;like new;6 cylinders;gas;automatic;convertible;black;az
birmingham;72900;2021;chevrolet;tahoe;good;8 cylinders;gas;automatic;SUV;grey;al
anchorage / mat-su;72777;2018;ford;f350 super duty crew cab;excellent;8 cylinders;diesel;automatic;pickup;grey;ak
fresno / madera;72000;2019;ram;2500;like new;6 cylinders;diesel;automatic;truck;white;ca
bakersfield;71950;2017;ford;f350 super duty diesel;excellent;8 cylinders;diesel;automatic;truck;black;ca
los angeles;70000;1987;porsche;911;like new;6 cylinders;gas;manual;convertible;red;ca
bakersfield;69995;2017;ford;super duty f-250 lariat -;excellent;8 cylinders;diesel;automatic;truck;white;ca
bakersfield;69995;2018;ram;2500;excellent;6 cylinders;diesel;automatic;pickup;grey;ca
fresno / madera;69995;2017;ford;super duty f-250 lariat;excellent;8 cylinders;diesel;automatic;truck;white;ca
phoenix;69900;2018;lexus;lx;excellent;8 cylinders;gas;automatic;SUV;black;az
phoenix;69000;2020;dodge;durango srt 392;like new;8 cylinders;gas;automatic;SUV;grey;az
humboldt county;69000;2017;ford;f350 super duty;excellent;8 cylinders;diesel;automatic;truck;black;ca
inland empire;69000;2016;chevrolet;silverado 2500hd 4x4;like new;8 cylinders;diesel;automatic;truck;white;ca
anchorage / mat-su;68995;2017;ford;f-250 super duty;excellent;8 cylinders;diesel;automatic;truck;black;ak
bakersfield;68995;2017;ford;f-150;excellent;6 cylinders;gas;automatic;pickup;silver;ca
fort smith;68988;2019;chevrolet;silverado 2500hd;like new;8 cylinders;diesel;automatic;truck;black;ar
bakersfield;68900;2017;volvo;vnl64t630;good;6 cylinders;diesel;automatic;truck;red;ca
anchorage / mat-su;68500;2020;ford;f350 super duty;new;8 cylinders;diesel;automatic;truck;silver;ak
tucson;68000;1968;chevrolet;camaro ss;like new;8 cylinders;gas;automatic;coupe;red;az
fayetteville;68000;1960;chevrolet;corvette;excellent;8 cylinders;gas;manual;convertible;red;ar
fayetteville;68000;1960;chevrolet;corvette;excellent;8 cylinders;gas;manual;convertible;red;ar
fayetteville;68000;1960;chevrolet;corvette;excellent;8 cylinders;gas;manual;convertible;red;ar
fayetteville;68000;1960;chevrolet;corvette;excellent;8 cylinders;gas;manual;convertible;red;ar
chico;67840;2017;ford;f250 super duty lariat 4x4;like new;8 cylinders;diesel;automatic;pickup;black;ca
anchorage / mat-su;67500;1968;chevrolet;camar;like new;8 cylinders;gas;automatic;coupe;grey;ak
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
flagstaff / sedona;67060;2020;chevrolet;suburban premier;good;8 cylinders;gas;automatic;other;blue;az
phoenix;67000;2015;chevrolet;silverado 2500hd;like new;8 cylinders;diesel;automatic;truck;red;az
bakersfield;66995;2018;ram;2500;excellent;6 cylinders;diesel;automatic;pickup;grey;ca
bakersfield;66590;2020;cadillac;escalade esv luxury;good;8 cylinders;gas;other;other;black;ca
phoenix;66000;2019;ford;f-250 super duty;excellent;8 cylinders;diesel;automatic;truck;black;az
phoenix;66000;2021;toyota;rav 4 prime;like new;4 cylinders;hybrid;automatic;SUV;white;az
anchorage / mat-su;65995;2019;dodge;durango srt awd;excellent;8 cylinders;gas;automatic;SUV;blue;ak
bakersfield;65995;2019;ford;super duty f-250 srw;excellent;8 cylinders;diesel;automatic;pickup;white;ca
little rock;65955;2017;ford;f250 4x4 platinum;like new;8 cylinders;diesel;automatic;truck;white;ar
anchorage / mat-su;65000;2019;ford;f-350;new;8 cylinders;diesel;automatic;truck;silver;ak
tucson;65000;2017;ram;3500 laramie 4x4;like new;6 cylinders;diesel;automatic;pickup;brown;az
little rock;65000;2017;ford;f250 4x4 platinum;like new;8 cylinders;diesel;automatic;truck;white;ar
fresno / madera;65000;2019;ram;3500 4x4 bighorn cummins 6.7;like new;6 cylinders;diesel;automatic;pickup;black;ca
inland empire;65000;2016;jeep;wrangler unlimited;like new;6 cylinders;gas;automatic;SUV;white;ca
anchorage / mat-su;64995;2016;chevrolet;silverado 2500hd duramax;like new;8 cylinders;diesel;automatic;truck;red;ak
anchorage / mat-su;64995;2003;acura;nsx 5-spd open top;excellent;6 cylinders;gas;manual;coupe;black;ak
anchorage / mat-su;64995;2017;ford;f-450 dually lariat;excellent;8 cylinders;diesel;automatic;pickup;black;ak
anchorage / mat-su;64995;2003;acura;nsx 5-spd open top;excellent;6 cylinders;gas;manual;coupe;black;ak
anchorage / mat-su;64995;2017;ford;f-450 dually lariat;excellent;8 cylinders;diesel;automatic;pickup;black;ak
anchorage / mat-su;64995;2017;ford;f-450 dually lariat;excellent;8 cylinders;diesel;automatic;pickup;black;ak
